Ваш пол,Возраст,Характер,Что вы предпочитаете?,Как часто вы берете инициативу в свои руки?,Как часто вы пропускаете завтраки?,Сколько спите ночью в среднем,Гипертония,Курите?,Пьете энергетики?,Бывают ли проблемы со сном?,Повышенная тревожность?,Проблемы с концентрацией,Наличие кофейни возле дома,Какая культура ближе,Любишь ли горькое,Занимаетесь спортом?,Выпиваете алкоголь,Время подъема,Любите сладкое?,Любимое время года?,Что пьют родители,Какие напитки любите,Азартен?
Мужской,22,Сангвиник,Чай,Очень часто,Очень часто,8,Нет,Да,Нет,Нет,Нет,Нет,Нет,Восток,Нет,Да,Редко,9,Нет,Лето,Чай,Холодные,Нет
Мужской,22,Флегматик,Чай,Очень часто,Очень редко,6,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Не знаю,Нет,Нет,Да,8,Нет,Лето,Чай,Горячие,Нет
Женский,22,Сангвиник,Чай,Периодически,Очень часто,7,Нет,Да,Да,Да,Да,Нет,Да,Запад,Нет,Нет,Да,10,Да,Весна,Чай,Холодные,Нет
Женский,21,Холерик,Чай,Периодически,Очень редко,7,Нет,Нет,Нет,Нет,Да,Да,Нет,Восток,Нет,Нет,Редко,8,Да,Весна,Чай,Горячие,Да
Мужской,21,Холерик,Кофе,Часто,Очень часто,5,Нет,Да,Да,Да,Да,Нет,Да,Запад,Нет,Да,Да,8,Да,Лето,Чай и кофе,Горячие,Нет
Мужской,22,Меланхолик,Кофе,Периодически,Часто,6,Нет,Нет,Нет,Да,Нет,Да,Нет,Не знаю,Нет,Нет,Редко,8,Нет,Весна,Чай и кофе,Холодные,Нет
Мужской,21,Сангвиник,Чай,Периодически,Редко,8,Нет,Да,Нет,Да,Да,Нет,Нет,Не знаю,Нет,Да,Да,8,Да,Весна,Кофе,Холодные,Нет
Мужской,21,Меланхолик,Кофе,Периодически,Очень редко,10,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Запад,Нет,Да,Нет,11,Да,Зима,Чай и кофе,Горячие,Нет
Мужской,22,Меланхолик,Чай,Часто,Очень часто,7,Нет,Да,Да,Да,Нет,Нет,Нет,Восток,Нет,Нет,Да,7,Нет,Лето,Чай и кофе,Горячие,Да
Мужской,22,Меланхолик,Чай,Редко,Часто,8,Нет,Да,Да,Да,Да,Нет,Нет,Запад,Нет,Нет,Редко,14,Да,Зима,Чай и кофе,Горячие,Нет
